name,category,tags,help_types,practical_help,website,instagram,facebook,description,activity_status,city,source
Stray Safe,Animals,"cats,stray cats,TNR,adoption,community cats","volunteering,donations,awareness,logistics","feeding stray cats, helping with TNR, fostering, transport assistance","https://stray-safe.com","https://www.instagram.com/straysafecity","https://facebook.com/straysafe.rs","Belgrade community initiative focused on stray cats, TNR programs, fostering and adoptions. Volunteers help with feeding, transport, fostering and rescue coordination.","active","Belgrade","seed"
Animal Rescue Serbia,Animals,"animal rescue,stray dogs,stray cats,education,community rescue","volunteering,donations,logistics,awareness","rescue support, transporting animals, fostering, donation campaigns","https://animalrescueserbia.org","https://instagram.com/animalrescueserbia","https://facebook.com/animalrescueserbia","Large volunteer network rescuing injured and abandoned animals in Serbia. Focus on education and coordination of rescues.","active","Belgrade","seed"
Pico's Pack,Animals,"dogs,stray dogs,rescue,adoption,fostering","volunteering,donations,fostering,awareness","dog care, fostering, fundraising, social media support","https://picospack.org","https://instagram.com/picospack","https://facebook.com/picospack","Volunteer-run dog rescue organization caring for street dogs and arranging adoptions locally and internationally.","active","Belgrade","seed"
Purrmacka,Animals,"cats,cat cafe,rescue,community space,volunteering","volunteering,donations,awareness","help in cat space, events, fostering, donations","https://purrmacka.org","https://instagram.com/purrmacka","https://facebook.com/purrmacka","Cat rescue and community cat space combining coworking and animal care. Visitors can volunteer and support rescued cats.","active","Belgrade","seed"
BETA Beograd Rescue,Animals,"adoption,rescue,dogs,cats,community initiative","volunteering,donations,awareness","fostering, event support, promotion of adoptions","","https://instagram.com/udruzenjebetabg","https://facebook.com/udruzenje.beta.bgd","Animal welfare group promoting adoption and rescue of abandoned pets.","active","Belgrade","seed"
Trash Hero Beograd,Environment,"cleanup,river cleanup,waste,volunteers,community action","volunteering,awareness,cleanup","join weekend cleanups, waste sorting, river cleanup events","https://trashhero.org","https://instagram.com/trashherobeograd","https://facebook.com/trashherobeograd","Volunteer cleanup group organizing regular environmental actions in Belgrade.","active","Belgrade","seed"
Zavrni Rukave,Environment,"cleanup,national cleanup,community action,volunteers","volunteering,cleanup,logistics","participate in mass cleanup events across Serbia","https://zavrnirukave.rs","https://instagram.com/zavrnirukave","https://facebook.com/groups/zavrnirukave","Large citizen cleanup movement organizing nationwide environmental actions.","active","Belgrade","seed"
Zajednički frižider,Environment,"food waste,community fridge,mutual aid,sustainability","volunteering,logistics,awareness","maintain community fridge, distribute food, monitor supplies","","https://instagram.com/zajednickifrizider","","Community fridge reducing food waste and helping people in need through food redistribution.","active","Belgrade","seed"
Mladi istraživači Srbije,Environment,"ecology,tree planting,education,volunteer camps","volunteering,education,logistics","eco camps, reforestation, educational programs","https://mis.org.rs","https://instagram.com/mis.vss","","Environmental NGO organizing youth eco-camps and conservation programs.","active","Belgrade","seed"
Očistimo reke,Environment,"river cleanup,water protection,Danube,Sava","volunteering,cleanup,awareness","shoreline cleanup, boat cleanup activities","https://discoverserbia.rs/initiatives/clean-the-rivers","https://instagram.com/discover_serbia_","https://facebook.com/discoverserbia","River protection initiative organizing cleanup actions on Serbian waterways.","active","Belgrade","seed"
Pošumimo Srbiju,Environment,"tree planting,reforestation,climate action,volunteers","volunteering,awareness,logistics","tree planting events, forest restoration","https://discoverserbia.rs/initiatives/posumimo-srbiju","https://instagram.com/discover_serbia_","https://facebook.com/discoverserbia","Mass tree planting initiative focused on reforestation in Serbia.","active","Belgrade","seed"
Caritas Serbia,Community,"elderly,social aid,poverty,home care,volunteers","volunteering,donations,mentoring","home visits, elderly care, companionship","https://caritas.rs","https://instagram.com/caritas_srbije","https://facebook.com/CaritasBelgrade","Humanitarian organization supporting elderly and vulnerable groups through volunteer care.","active","Belgrade","seed"
KlikAktiv,Community,"homeless,roma,social support,refugees,education","volunteering,awareness","outreach, food distribution, translation support","https://klikaktiv.org","https://instagram.com/klikaktiv_org","https://facebook.com/klikaktiv","NGO supporting marginalized groups in Belgrade including homeless and Roma communities.","active","Belgrade","seed"
ADRA Serbia,Community,"homeless,food aid,education,healthcare","volunteering,food,logistics","food delivery, tutoring, outreach work","https://adra.org.rs","https://instagram.com/adrasrbija","https://facebook.com/ADRASerbia","Humanitarian organization providing food aid, education and support services.","active","Belgrade","seed"
Budi Human Foundation,Community,"medical aid,children,fundraising,donations","donations,awareness","donation campaigns, sharing fundraising cases","https://budihuman.rs","","","Foundation funding medical treatment for children and individuals in need.","active","Belgrade","seed"
Community Fridge Dorćol,Community,"food waste,hunger,mutual aid","volunteering,food,awareness","maintaining fridge, food sharing coordination","https://instagram.com/zajednickifrizider","","","Community fridge initiative reducing food waste and supporting vulnerable people.","active","Belgrade","seed"
Food Bank Belgrade,Community,"food distribution,hunger,donations,logistics","volunteering,logistics,food","sorting food, packing, distribution","https://bankahrane.org.rs","https://instagram.com/bankahrane","https://facebook.com/BankaHraneBeograd","Food bank collecting and distributing surplus food to charities.","active","Belgrade","seed"
Prostor Association,Community,"mental health,art therapy,peer support","volunteering,mentoring,awareness","workshop support, peer assistance","https://prostor.org.rs","https://instagram.com/udruzenjeprostor","https://facebook.com/ProstorUdruzenje","NGO supporting mental health through workshops and community programs.","active","Belgrade","seed"
Jesuit Refugee Service Serbia,Community,"refugees,education,integration,counseling","volunteering,mentoring,education","language teaching, mentoring, workshops","https://jrs.rs","https://instagram.com/jrsserbia","https://facebook.com/jrsserbia","Supports refugees through education and integration programs.","active","Belgrade","seed"
Red Cross Serbia,Community,"humanitarian,first aid,poverty,elderly support","volunteering,donations,training","first aid, disaster response, social support","https://redcross.org.rs","","","Largest humanitarian organization in Serbia providing emergency and social aid.","active","Belgrade","seed"